Order_ID,Customer_ID,Customer_Name,Age_cal,email,Country,City,Order_Date,Ship_Date,Product_Category,Quantity,Unit_Price,Discount,Sales,Customer_segment_cal,Satisfaction_Score,payment_cal,Notes_cal
O1059,C013,Luca Bianchi,60,luca.bianchi@example.com,France,Paris,1/13/2026,1/23/2026,Home,7,178.9,0.15,1064.45,Unkown,5,Paypal,Return Risk
O1090,C029,John Doe,62,john.doe@example.com,Spain,Barcelona,4/15/2026,4/16/2026,Furniture,10,13.45,0,134.5,Corporate,2,Bank Transfer,Ok
O1001,C016,Maha Zadeh,60,maha.zadeh@example.com,Deutschland,Mannheim,1/27/2026,,Office Supplies,2,19.73,0.25,29.59,Corporate,5,Bank Transfer,Ok
O1018,C049,Mehdi Karimi,58,mehdi.karimi@example.com,Netherlands,Amsterdam,1/28/2026,2/3/2026,Home,8,382.96,0.15,2604.13,Corporate,3,Unknown,Missing Phone
O1070,C034,Peter Schmidt,48,peter.schmidt@example.com,Italy,Rome,4/8/2026,4/10/2026,Office Supplies,0,74.93,0.15,0,Home Office,,Unknown,Check Address
O1046,C022,Anna Müller,39,anna.muller@example.com,France,,6/2/2026,2/15/2026,Electronics,1,174.28,0.05,165.57,Home Office,5,Credit Card,Check Address
O1012,C019,John Doe,56,john.doe@example.com,España,Valencia,3/29/2026,4/1/2026,Electronics,1,"9999,99",0.05,9499.99,Home Office,4,Credit Card,Unknown
O1038,C035,Ali Reza,20,ali.reza@example.com,Netherlands,Rotterdam,5/16/2026,5/24/2026,Office Supplies,8,392.72,0.15,2670.5,Consumer,,Cash,Check Address
O1080,C046,Tom Brown,36,tom.brown@example.com,Netherlands,,12/1/2026,1/18/2026,Furniture,1,111.5,0.2,89.2,Corporate,3,Bank Transfer,Check Address
O1085,C049,Luca Bianchi,0,luca.bianchi@example.com,Germany,Karlsruhe,3/1/2026,3/2/2026,Furniture,1,€280.50,0.15,238.42,Home Office,5,Bank Transfer,Missing Phone
O1011,C005,Maha Zadeh,61,maha.zadeh@example.com,Germany,Karlsruhe,1/26/2026,1/27/2026,Electronics,6,171.33,0.2,822.38,Consumer,,Bank Transfer,Missing Phone
O1083,C039,Peter Schmidt,46,peter.schmidt@example.com,Italy,Milan,3/3/2026,3/11/2026,Electronics,6,398.2,0.25,1791.9,Consumer,2,Bank Transfer,Ok
O1023,C054,Nina Weber,16,nina.weber@example.com,Italy,Rome,3/19/2026,3/29/2026,Electronics,1,171.79,0.1,154.61,Corporate,1,Paypal,Return Risk
O1037,C050,Laura Rossi,56,laura.rossi@example.com,Italy,Milan,5/8/2026,5/12/2026,Electronics,4,326.65,0.05,1241.27,Consumer,1,Bank Transfer,Missing Phone
O1091,C018,Carlos Garcia,69,carlos.garcia@example.com,France,Lyon,1/20/2026,1/25/2026,Home,10,142.66,0.1,1283.94,Consumer,3,Bank Transfer,Missing Phone
O1010,C004,Tom Brown,42,tom.brown@example.com,Spain,Barcelona,2/17/2026,2/18/2026,Furniture,2,263.88,0,527.76,Corporate,3,Paypal,Ok
O1064,C034,Nina Weber,56,nina.weber@example.com,Germany,Heidelberg,2/11/2026,2/16/2026,Home,5,288.7,0.05,1371.33,Home Office,5,Bank Transfer,Ok
O1075,C040,Julia Fischer,31,julia.fischer@example.com,Netherlands,Amsterdam,4/14/2026,4/20/2026,Office Supplies,3,"9999,99",0.15,25499.97,Home Office,3,Paypal,Missing Phone
O1049,C020,Mehdi Karimi,31,mehdi.karimi@example.com,Italy,Milan,3/27/2026,3/29/2026,Office Supplies,4,329.5,0.05,1252.1,Corporate,2,Unknown,Ok
O1024,C035,Peter Schmidt,40,peter.schmidt@example.com,Italy,Naples,4/22/2026,5/1/2026,Furniture,2,339.71,0.25,509.56,Home Office,3,Bank Transfer,Urgent
O1020,C055,Nina Weber,30,nina.weber@example.com,Netherlands,Rotterdam,4/8/2026,4/15/2026,Office Supplies,7,361.54,0.15,2151.16,Consumer,4,Credit Card,Ok
O1074,C019,Julia Fischer,45,julia.fischer@example.com,Netherlands,,3/18/2026,3/27/2026,Electronics,8,226.31,0.2,1448.38,Home Office,3,Bank Transfer,Ok
O1053,C014,Marie Dubois,37,marie.dubois@example.com,France,Paris,5/5/2026,5/8/2026,Electronics,2,334.48,0.25,501.72,Home Office,5,Unknown,Check Address
O1065,C006,Luca Bianchi,67,Unknown,Germany,Karlsruhe,3/9/2026,3/19/2026,Office Supplies,8,€291.72,0.05,2217.07,Corporate,4,Unknown,Return Risk
O1094,C037,Maha Zadeh,41,maha.zadeh@example.com,Italy,Rome,,4/18/2026,Furniture,9,"311,95",0.1,2526.79,Corporate,,Credit Card,Unknown
O1013,C003,Luca Bianchi,71,luca.bianchi@example.com,France,Paris,1/11/2026,1/16/2026,Office Supplies,9,€282.33,0.05,2413.92,Unkown,2,Cash,Missing Phone
O1066,C021,Mehdi Karimi,76,mehdi.karimi@example.com,Italy,Milan,3/30/2026,4/5/2026,Office Supplies,4,117.58,0.1,423.29,Consumer,2,Paypal,Check Address
O1015,C017,Emma Wilson,75,emma.wilson@example.com,Germany,Karlsruhe,4/22/2026,,Office Supplies,7,27.62,0.2,154.67,Home Office,,Bank Transfer,Missing Phone
O1002,C025,Sara Smith,52,sara.smith@example.com,Germany,Karlsruhe,3/30/2026,4/8/2026,Electronics,7,285.86,0.1,1800.92,Corporate,,Bank Transfer,Ok
O1055,C007,Anna Müller,0,anna.muller@example.com,Italy,Milan,2/1/2026,2/5/2026,Office Supplies,3,410.44,0.1,1108.19,Consumer,1,Credit Card,Unknown
O1007,C034,Nina Weber,71,nina.weber@example.com,Spain,Madrid,2/27/2026,2/28/2026,Home,0,34.02,0,0,Corporate,3,Paypal,Check Address
O1076,C044,Anna Müller,51,anna.muller@example.com,Spain,Barcelona,3/21/2026,3/22/2026,Electronics,3,445.07,0.25,1001.41,Home Office,,Unknown,Check Address
O1005,C018,Maha Zadeh,35,maha.zadeh@example.com,Italy,Naples,,2/2/2026,Electronics,12,86.96,0.25,782.64,Home Office,2,Bank Transfer,Check Address
