Order_ID,Customer_ID,Customer_Name,Email,Country,City,Order_Date,Ship_Date,Product_Category,Quantity,Unit_Price,Discount,Sales,Age,Customer_Segment,Satisfaction_Score,Payment_Method,Notes
O1001,C016,MAHA ZADEH,maha.zadeh@example.com,Deutschland,Mannheim,2026/01/27,not available,office supplies,2,19.73,0.25,29.59,60,Corporate,5,Bank Transfer,ok
O1002,C025,Sara Smith,sara.smith@example.com,germany,karlsruhe,03-30-2026,2026-04-08,electronics,7,285.86,0.1,1800.92,52,CORPORATE,,Bank Transfer,ok
O1003,C014,Carlos Garcia,carlos.garcia@example.com,Italy,Rome,19/01/2026,2026/01/28,Office Supplies,7,312.17,0.1,1966.67,69,consumer,1,,check address
O1004,C009,Nina Weber,nina.weber@example.com,Deutschland,Mannheim,2026/05/18,22.05.2026,Home,4,226.13,0,904.52,25,Corporate,4,Credit Card,return risk
O1005,C018,Maha Zadeh,maha.zadeh@example.com,italy,Naples,29.01.2026,02/02/2026,Electronics,12,86.96,0.25,782.64,35,Home Office,2,bank transfer,check address
O1006,C054,CARLOS GARCIA,carlos.garcia@example.com,italy,Naples,2026/01/15,2026-01-18,Furniture,2,63.59,0.2,101.74,26,home office,4,Bank Transfer,missing phone
O1007,C034,Nina Weber,nina.weber@example.com,Spain,Madrid,02-27-2026,2026-02-28,home,0,34.02,0,0.0,71,CORPORATE,3,PAYPAL,check address
O1008,C043,  Julia Fischer  ,julia.fischer@example.com,FRANCE,Lyon,2026-04-16,2026-04-23,Home,2,206.29,0.1,371.32,45,,4,Credit Card,missing phone
O1009,C032,John Doe,john.doe@example.com,Spain,Madrid,,13.04.2026,Office Supplies,8,330.88,0.25,1985.28,61,Consumer,2,Credit Card,missing phone
O1010,C004,Tom Brown,tom.brown@example.com,spain,Barcelona,2026/02/17,2026-02-18,furniture,2,263.88,0,527.76,42,CORPORATE,3,PayPal,ok
O1011,C005,Maha Zadeh,maha.zadeh@example.com,Germany,Karlsruhe,2026/01/26,27/01/2026,electronics,6,171.33,0.2,822.38,61,consumer,,Bank Transfer,missing phone
O1012,C019,John Doe,john.doe@example.com,España,Valencia,03-29-2026,2026/04/01,ELECTRONICS,1,"9999,99",0.05,9499.99,56,Home Office,4,Credit Card,
O1013,C003,Luca Bianchi,luca.bianchi@example.com,France,Paris,11/01/2026,16/01/2026,Office Supplies,9,€282.33,0.05,2413.92,71,,2,Cash,missing phone
O1014,C011,Julia Fischer,julia.fischer@example.com,italy,Naples,08.04.2026,08/04/2026,Office Supplies,6,9999.99,0.05,56999.94,41,Consumer,3,credit card,check address
O1015,C017,Emma Wilson,emma.wilson@example.com,Germany,Karlsruhe,04-22-2026,27.04.2026,Office Supplies,7,27.62,0.2,154.67,75,Home Office,,bank transfer,missing phone
O1016,C020,Maha Zadeh,maha.zadeh@example.com,Italy,Rome,2026/04/14,18/04/2026,OFFICE SUPPLIES,7,280.06,0.2,1568.34,,CORPORATE,3,,urgent
O1017,C051,Maha Zadeh,maha.zadeh@example.com,ITALY,Milan,2026/01/22,2026/01/26,office supplies,4,9999.99,0.05,37999.96,46,CORPORATE,4,Cash,missing phone
O1018,C049,MEHDI KARIMI,mehdi.karimi@example.com,Netherlands,Amsterdam,28/01/2026,03/02/2026,Home,8,382.96,0.15,2604.13,58,CORPORATE,3,,missing phone
O1019,C049,Emma Wilson,,Deutschland,Mannheim,12.03.2026,20/03/2026,Electronics,5,402.72,0.05,1912.92,30,consumer,2,Cash,return risk
O1020,C055,Nina Weber,nina.weber@example.com,NETHERLANDS,Rotterdam,2026-04-08,04-15-2026,OFFICE SUPPLIES,7,361.54,0.15,2151.16,30,consumer,4,Credit Card,ok
O1021,C042,  Emma Wilson  ,emma.wilson@example.com,FRANCE,Lyon,2026-04-29,05-01-2026,electronics,6,130.99,0.15,668.05,32,,,Credit Card,missing phone
O1022,C054,JULIA FISCHER,julia.fischer@example.com,Germany,Karlsruhe,03.03.2026,2026-03-05,home,12,€275.80,0.25,2482.2,23,home office,3,Cash,urgent
O1023,C054,Nina Weber,nina.weber@example.com,Italy,Rome,2026/03/19,2026-03-29,ELECTRONICS,1,171.79,0.1,154.61,16,CORPORATE,1,PayPal,return risk
O1024,C035,Peter Schmidt,peter.schmidt@example.com,italy,Naples,04-22-2026,05-01-2026,furniture,2,339.71,0.25,509.56,40,Home Office,3,Bank Transfer,urgent
O1025,C006,MARIE DUBOIS,marie.dubois@example.com,Deutschland,Mannheim,06/05/2026,14.05.2026,furniture,1,313.77,0.2,251.02,39,Corporate,4,Bank Transfer,return risk
O1026,C008,MEHDI KARIMI,mehdi.karimi@example.com,ITALY,Milan,17/02/2026,20.02.2026,ELECTRONICS,9,376.02,0.1,3045.76,27,home office,2,,missing phone
O1027,C029,John Doe,john.doe@example.com,france,paris,14.01.2026,2026-01-18,office supplies,2,75.06,0.1,135.11,21,CORPORATE,4,,check address
O1028,C040,Laura Rossi,laura.rossi@example.com,Germany,Karlsruhe,26/01/2026,01-29-2026,Furniture,3,188.56,0.15,480.83,,Corporate,3,PAYPAL,missing phone
O1029,C010,NINA WEBER,nina.weber@example.com,NETHERLANDS,Rotterdam,2026-02-06,07/02/2026,Office Supplies,10,€215.16,0.15,1828.86,76,Home Office,4,Bank Transfer,return risk
O1030,C054,ANNA MÜLLER,anna.muller@example.com,Netherlands,Amsterdam,,2026/01/16,Office Supplies,8,130.95,0.15,890.46,56,CORPORATE,4,,ok
O1031,C003,Laura Rossi,laura.rossi@example.com,Spain,Madrid,2026-03-06,11.03.2026,OFFICE SUPPLIES,1,190.66,0.1,171.59,55,Consumer,1,Credit Card,return risk
O1032,C036,Maha Zadeh,maha.zadeh@example.com,Germany,Karlsruhe,2026-01-24,27.01.2026,electronics,3,232.92,0.15,593.95,46,Corporate,4,Cash,ok
